Match,Teams With,Teams Against,Opposing alliance,Your strategy
Quals 9,1165 with 3309,4470 with 5049 with 4800
Quals 14,3288 with 3245,3187 with 687 with 3019
Quals 23,987 with 2403,585 with 2493 with 3965
Quals 32,60 with 4146,5012 with 1572 with 1661
Quals 39,4160 with 1266,4792 with 1631 with 60
Quals 44,1631 with 1726,1717 with 3245 with 4276
Quals 54,1538 with 585,2102 with 3577 with 3255
Quals 63,2122 with 4322,2486 with 2403 with 2485
Quals 70,4962 with 399,3501 with 3965 with 1538
Quals 82,687 with 3965,3476 with 4160 with 2429
Quals 92,3501 with 1717,3009 with 4322 with 2034
